Deck Code   -  Average T5 Damage
16-08-04-02 - Avg. Dmg. : 40.4088
09-09-03-09 - Avg. Dmg. : 40.4059
08-10-04-08 - Avg. Dmg. : 40.4052
10-12-07-01 - Avg. Dmg. : 40.404
16-06-05-03 - Avg. Dmg. : 40.4038
09-08-07-06 - Avg. Dmg. : 40.4035
15-10-04-01 - Avg. Dmg. : 40.4018
07-16-01-06 - Avg. Dmg. : 40.4011
08-10-07-05 - Avg. Dmg. : 40.4011
07-14-02-07 - Avg. Dmg. : 40.4004
11-10-08-01 - Avg. Dmg. : 40.4004
15-06-02-07 - Avg. Dmg. : 40.3904
14-08-07-01 - Avg. Dmg. : 40.3895
11-07-09-03 - Avg. Dmg. : 40.3893
07-13-04-06 - Avg. Dmg. : 40.3877
09-10-01-10 - Avg. Dmg. : 40.3871
11-15-03-01 - Avg. Dmg. : 40.3853
08-12-07-03 - Avg. Dmg. : 40.3833
09-08-06-07 - Avg. Dmg. : 40.3802
16-06-02-06 - Avg. Dmg. : 40.3775
15-09-05-01 - Avg. Dmg. : 40.3771
15-05-05-05 - Avg. Dmg. : 40.3759
10-09-01-10 - Avg. Dmg. : 40.3758
09-11-08-02 - Avg. Dmg. : 40.3754
13-08-08-01 - Avg. Dmg. : 40.3744
15-07-00-08 - Avg. Dmg. : 40.3741
14-05-05-06 - Avg. Dmg. : 40.3719
09-17-02-02 - Avg. Dmg. : 40.3683
07-14-03-06 - Avg. Dmg. : 40.3669
16-10-02-02 - Avg. Dmg. : 40.3667
13-07-01-09 - Avg. Dmg. : 40.3663
13-14-02-01 - Avg. Dmg. : 40.3641
10-07-07-06 - Avg. Dmg. : 40.3626
14-06-02-08 - Avg. Dmg. : 40.3625
10-08-09-03 - Avg. Dmg. : 40.3621
07-12-04-07 - Avg. Dmg. : 40.3602
10-07-08-05 - Avg. Dmg. : 40.3602
07-12-06-05 - Avg. Dmg. : 40.3579
07-12-05-06 - Avg. Dmg. : 40.3545
11-17-00-02 - Avg. Dmg. : 40.3543
11-07-03-09 - Avg. Dmg. : 40.351
10-09-09-02 - Avg. Dmg. : 40.3504
07-14-05-04 - Avg. Dmg. : 40.3489
07-13-02-08 - Avg. Dmg. : 40.3468
11-06-07-06 - Avg. Dmg. : 40.3454
09-08-08-05 - Avg. Dmg. : 40.3445
16-11-00-03 - Avg. Dmg. : 40.3436
14-13-02-01 - Avg. Dmg. : 40.3434
15-05-06-04 - Avg. Dmg. : 40.3415
15-08-06-01 - Avg. Dmg. : 40.3414
10-17-01-02 - Avg. Dmg. : 40.3388
16-07-05-02 - Avg. Dmg. : 40.3367
12-07-09-02 - Avg. Dmg. : 40.3347
07-14-04-05 - Avg. Dmg. : 40.3345
10-11-08-01 - Avg. Dmg. : 40.3292
14-06-08-02 - Avg. Dmg. : 40.3287
08-17-02-03 - Avg. Dmg. : 40.3269
08-12-00-10 - Avg. Dmg. : 40.3252
14-07-00-09 - Avg. Dmg. : 40.3245
17-07-02-04 - Avg. Dmg. : 40.3217
15-06-07-02 - Avg. Dmg. : 40.3206
09-18-00-03 - Avg. Dmg. : 40.3177
15-11-03-01 - Avg. Dmg. : 40.3174
08-18-00-04 - Avg. Dmg. : 40.3167
11-06-08-05 - Avg. Dmg. : 40.3165
14-05-07-04 - Avg. Dmg. : 40.3154
13-05-07-05 - Avg. Dmg. : 40.3151
08-10-08-04 - Avg. Dmg. : 40.3132
12-15-02-01 - Avg. Dmg. : 40.3094
07-13-05-05 - Avg. Dmg. : 40.3073
11-06-06-07 - Avg. Dmg. : 40.3045
12-06-04-08 - Avg. Dmg. : 40.3025
13-05-06-06 - Avg. Dmg. : 40.3011
17-08-01-04 - Avg. Dmg. : 40.3004
08-14-06-02 - Avg. Dmg. : 40.2973
07-16-02-05 - Avg. Dmg. : 40.2967
07-16-00-07 - Avg. Dmg. : 40.2943
09-08-05-08 - Avg. Dmg. : 40.2903
11-08-01-10 - Avg. Dmg. : 40.2897
16-05-05-04 - Avg. Dmg. : 40.2887
09-13-07-01 - Avg. Dmg. : 40.2875
16-05-04-05 - Avg. Dmg. : 40.2874
07-12-03-08 - Avg. Dmg. : 40.286
12-12-06-00 - Avg. Dmg. : 40.2854
07-13-01-09 - Avg. Dmg. : 40.2804
07-15-00-08 - Avg. Dmg. : 40.2804
11-16-02-01 - Avg. Dmg. : 40.2784
12-08-00-10 - Avg. Dmg. : 40.278
15-13-00-02 - Avg. Dmg. : 40.2776
17-07-01-05 - Avg. Dmg. : 40.2723
16-07-00-07 - Avg. Dmg. : 40.2703
08-13-07-02 - Avg. Dmg. : 40.2694
16-11-01-02 - Avg. Dmg. : 40.2691
12-08-09-01 - Avg. Dmg. : 40.266
14-07-08-01 - Avg. Dmg. : 40.2634
15-05-04-06 - Avg. Dmg. : 40.2634
13-12-05-00 - Avg. Dmg. : 40.2629
08-15-05-02 - Avg. Dmg. : 40.2626
09-09-09-03 - Avg. Dmg. : 40.2626
07-17-01-05 - Avg. Dmg. : 40.2617
17-07-03-03 - Avg. Dmg. : 40.2617
13-11-06-00 - Avg. Dmg. : 40.2592
17-08-02-03 - Avg. Dmg. : 40.2561
07-17-00-06 - Avg. Dmg. : 40.254
08-11-08-03 - Avg. Dmg. : 40.2523
13-10-07-00 - Avg. Dmg. : 40.2491
08-09-05-08 - Avg. Dmg. : 40.249
12-11-07-00 - Avg. Dmg. : 40.2488
13-05-08-04 - Avg. Dmg. : 40.2467
07-15-04-04 - Avg. Dmg. : 40.2348
15-05-03-07 - Avg. Dmg. : 40.234
17-09-01-03 - Avg. Dmg. : 40.2327
11-09-09-01 - Avg. Dmg. : 40.2322
15-12-02-01 - Avg. Dmg. : 40.2318
11-13-06-00 - Avg. Dmg. : 40.2317
12-06-09-03 - Avg. Dmg. : 40.2308
10-07-09-04 - Avg. Dmg. : 40.2301
14-05-04-07 - Avg. Dmg. : 40.2295
09-08-04-09 - Avg. Dmg. : 40.2289
15-07-07-01 - Avg. Dmg. : 40.2286
17-08-00-05 - Avg. Dmg. : 40.2273
13-06-09-02 - Avg. Dmg. : 40.2271
17-09-00-04 - Avg. Dmg. : 40.2271
09-10-09-02 - Avg. Dmg. : 40.2262
09-09-02-10 - Avg. Dmg. : 40.2243
11-06-09-04 - Avg. Dmg. : 40.223
07-14-00-09 - Avg. Dmg. : 40.2219
07-13-06-04 - Avg. Dmg. : 40.2168
09-08-09-04 - Avg. Dmg. : 40.2167
10-08-02-10 - Avg. Dmg. : 40.2137
16-08-05-01 - Avg. Dmg. : 40.2104
12-13-05-00 - Avg. Dmg. : 40.2099
16-06-06-02 - Avg. Dmg. : 40.2093
08-09-07-06 - Avg. Dmg. : 40.209
08-09-06-07 - Avg. Dmg. : 40.2078
16-05-06-03 - Avg. Dmg. : 40.2077
